path,t,SPX,SJIM,BIG_MAC
0,10/16/2031,7293.506416,38.10139947,7.747149609
0,11/16/2031,7610.803441,38.41770908,7.772738244
0,12/16/2031,7849.365818,36.98212224,7.788617737
0,1/16/2032,7911.619336,38.7700504,7.802708207
0,2/16/2032,7991.347775,40.10085468,7.84923991
0,3/16/2032,8096.695195,38.40446763,7.879036683
0,4/16/2032,8024.521042,37.08153225,7.896691725
0,5/16/2032,7790.499502,37.59171611,7.952627591
0,6/16/2032,7827.878448,37.55758402,8.001581352
0,7/16/2032,7831.417626,39.20072338,8.019892696
0,8/16/2032,7653.993,38.56141235,8.047829286
0,9/16/2032,7991.00745,39.75441062,7.986225557
0,10/16/2032,7944.826083,40.71619638,8.019190042
0,11/16/2032,8160.096605,41.64277455,8.071339209
0,12/16/2032,7922.454561,41.43353128,8.138867232
0,1/16/2033,7624.379194,42.41372618,8.192543856
0,2/16/2033,7884.24738,41.57745953,8.265753796
0,3/16/2033,7562.180152,42.02703089,8.306915643
0,4/16/2033,7295.585619,42.50054369,8.308193162
0,5/16/2033,7526.385268,43.34132334,8.350743916
0,6/16/2033,7480.379413,41.58703838,8.43371959
0,7/16/2033,7188.987975,40.2664292,8.432385954
0,8/16/2033,7064.803435,40.05875418,8.441613839
0,9/16/2033,7114.887473,39.71328091,8.395090129
0,10/16/2033,7155.812454,41.29045301,8.471501009
0,11/16/2033,6948.01293,39.68433703,8.503425521
0,12/16/2033,6907.4259,39.79831186,8.546289273
0,1/16/2034,6946.059157,39.97359771,8.608953125
0,2/16/2034,6889.56908,41.52380113,8.654524149
0,3/16/2034,6610.02708,42.13488225,8.661988533
0,4/16/2034,6628.087192,42.47669092,8.712787139
0,5/16/2034,6317.697029,41.88155181,8.768054206
0,6/16/2034,6507.019095,39.93589246,8.846713265
0,7/16/2034,6445.907368,40.84976551,8.922485052
0,8/16/2034,6707.977663,42.03942512,8.935695677
0,9/16/2034,6404.505781,44.04657297,8.998859942
0,10/16/2034,6599.557923,41.94146265,9.021420811
0,11/16/2034,6524.402589,43.73574592,9.058688444
0,12/16/2034,6558.859599,41.78363919,9.062110466
0,1/16/2035,6417.839814,40.92399267,9.086190364
0,2/16/2035,6150.427031,40.11572289,9.160044819
0,3/16/2035,6229.467029,41.70399298,9.190139789
0,4/16/2035,6314.223784,41.94330252,9.197392767
0,5/16/2035,6114.190273,43.80198519,9.222213645
0,6/16/2035,6237.713717,44.04730905,9.305541899
0,7/16/2035,6330.545245,44.87137652,9.340896022
0,8/16/2035,6370.639279,45.78048307,9.410242786
0,9/16/2035,6465.387244,45.14378046,9.500659184
0,10/16/2035,6455.899316,45.35057436,9.5066105
0,11/16/2035,6755.904113,46.14154176,9.549850112
0,12/16/2035,6916.835864,47.72170317,9.644122288
0,1/16/2036,7030.238843,47.89969209,9.67262067
0,2/16/2036,7265.525518,47.38630412,9.712938236
0,3/16/2036,7262.398831,49.6605271,9.784064415
0,4/16/2036,7259.217378,47.6534302,9.803091175
